 ID,PARAM,dateTime,Manic-1,SYM
02TC001,1,2050/02/08,1470,
02TC001,1,2050/02/09,1380,
02TC001,1,2050/02/10,1460,
02TC001,1,2050/02/11,1340,
02TC001,1,2050/02/12,1550,
02TC001,1,2050/02/13,1510,
02TC001,1,2050/02/14,1510,
02TC001,1,2050/02/15,1500,
02TC001,1,2050/02/16,1480,
02TC001,1,2050/02/17,1430,
02TC001,1,2050/02/18,1400,
02TC001,1,2050/02/19,1430,
02TC001,1,2050/02/20,1300,
02TC001,1,2050/02/21,1260,
02TC001,1,2050/02/22,994,
02TC001,1,2050/02/23,1040,
02TC001,1,2050/02/24,1070,
02TC001,1,2050/02/25,881,
02TC001,1,2050/02/26,1370,
02TC001,1,2050/02/27,1440,
02TC001,1,2050/02/28,1180,
02TC001,1,2050/03/01,1040,
02TC001,1,2050/03/02,1270,
02TC001,1,2050/03/03,1010,
02TC001,1,2050/03/04,654,
02TC001,1,2050/03/05,850,
02TC001,1,2050/03/06,1080,
02TC001,1,2050/03/07,906,
02TC001,1,2050/03/08,983,
02TC001,1,2050/03/09,1050,
02TC001,1,2050/03/10,1180,
02TC001,1,2050/03/11,1150,
02TC001,1,2050/03/12,1280,
02TC001,1,2050/03/13,1380,
02TC001,1,2050/03/14,1130,
02TC001,1,2050/03/15,1080,
02TC001,1,2050/03/16,1260,
02TC001,1,2050/03/17,1010,
02TC001,1,2050/03/18,951,
02TC001,1,2050/03/19,974,
02TC001,1,2050/03/20,493,
02TC001,1,2050/03/21,983,
02TC001,1,2050/03/22,736,
02TC001,1,2050/03/23,456,
02TC001,1,2050/03/24,496,
02TC001,1,2050/03/25,439,
02TC001,1,2050/03/26,1130,
02TC001,1,2050/03/27,1420,
02TC001,1,2050/03/28,1150,
02TC001,1,2050/03/29,915,
02TC001,1,2050/03/30,745,
02TC001,1,2050/03/31,668,
02TC001,1,2050/04/01,566,
02TC001,1,2050/04/02,951,
02TC001,1,2050/04/03,1040,
02TC001,1,2050/04/04,824,
02TC001,1,2050/04/05,1010,
02TC001,1,2050/04/06,1100,
02TC001,1,2050/04/07,892,
02TC001,1,2050/04/08,898,
02TC001,1,2050/04/09,997,
02TC001,1,2050/04/10,1020,
02TC001,1,2050/04/11,1040,
02TC001,1,2050/04/12,852,
02TC001,1,2050/04/13,530,
02TC001,1,2050/04/14,430,
02TC001,1,2050/04/15,430,
02TC001,1,2050/04/16,697,
02TC001,1,2050/04/17,827,
02TC001,1,2050/04/18,892,
02TC001,1,2050/04/19,821,
02TC001,1,2050/04/20,804,
02TC001,1,2050/04/21,538,
02TC001,1,2050/04/22,425,
02TC001,1,2050/04/23,609,
02TC001,1,2050/04/24,671,
02TC001,1,2050/04/25,648,
02TC001,1,2050/04/26,626,
02TC001,1,2050/04/27,682,
