 ID,PARAM,dateTime,La grande-1,SYM
03DF001,1,2035/06/29,2890,E
03DF001,1,2035/06/30,2830,E
03DF001,1,2035/07/01,2780,E
03DF001,1,2035/07/02,2780,E
03DF001,1,2035/07/03,2750,E
03DF001,1,2035/07/04,2730,E
03DF001,1,2035/07/05,2720,E
03DF001,1,2035/07/06,2690,E
03DF001,1,2035/07/07,2680,E
03DF001,1,2035/07/08,2670,E
03DF001,1,2035/07/09,2650,E
03DF001,1,2035/07/10,2630,E
03DF001,1,2035/07/11,2610,E
03DF001,1,2035/07/12,2560,E
03DF001,1,2035/07/13,2550,E
03DF001,1,2035/07/14,2520,E
03DF001,1,2035/07/15,2490,E
03DF001,1,2035/07/16,2460,E
03DF001,1,2035/07/17,2450,E
03DF001,1,2035/07/18,2440,E
03DF001,1,2035/07/19,2420,E
03DF001,1,2035/07/20,2410,E
03DF001,1,2035/07/21,2390,E
03DF001,1,2035/07/22,2390,E
03DF001,1,2035/07/23,2390,E
03DF001,1,2035/07/24,2390,E
03DF001,1,2035/07/25,2390,E
03DF001,1,2035/07/26,2400,E
03DF001,1,2035/07/27,2400,E
03DF001,1,2035/07/28,2390,E
03DF001,1,2035/07/29,2400,E
03DF001,1,2035/07/30,2400,E
03DF001,1,2035/07/31,2410,E
03DF001,1,2035/08/01,2410,E
03DF001,1,2035/08/02,2410,E
03DF001,1,2035/08/03,2400,E
03DF001,1,2035/08/04,2390,E
03DF001,1,2035/08/05,2380,E
03DF001,1,2035/08/06,2380,E
03DF001,1,2035/08/07,2380,E
03DF001,1,2035/08/08,2370,E
03DF001,1,2035/08/09,2350,E
03DF001,1,2035/08/10,2350,E
03DF001,1,2035/08/11,2320,E
03DF001,1,2035/08/12,2310,E
03DF001,1,2035/08/13,2290,E
03DF001,1,2035/08/14,2280,E
03DF001,1,2035/08/15,2270,E
03DF001,1,2035/08/16,2240,E
03DF001,1,2035/08/17,2240,E
03DF001,1,2035/08/18,2240,E
03DF001,1,2035/08/19,2240,E
03DF001,1,2035/08/20,2240,E
03DF001,1,2035/08/21,2240,E
03DF001,1,2035/08/22,2230,E
03DF001,1,2035/08/23,2230,E
03DF001,1,2035/08/24,2230,E
03DF001,1,2035/08/25,2240,E
03DF001,1,2035/08/26,2250,E
03DF001,1,2035/08/27,2260,E
03DF001,1,2035/08/28,2270,E
03DF001,1,2035/08/29,2270,E
03DF001,1,2035/08/30,2290,E
03DF001,1,2035/08/31,2340,E
03DF001,1,2035/09/01,2350,E
03DF001,1,2035/09/02,2380,E
03DF001,1,2035/09/03,2390,E
03DF001,1,2035/09/04,2410,E
03DF001,1,2035/09/05,2440,E
03DF001,1,2035/09/06,2440,E
03DF001,1,2035/09/07,2440,E
03DF001,1,2035/09/08,2440,E
03DF001,1,2035/09/09,2440,E
03DF001,1,2035/09/10,2440,E
03DF001,1,2035/09/11,2440,E
03DF001,1,2035/09/12,2440,E
03DF001,1,2035/09/13,2440,E
03DF001,1,2035/09/14,2440,E
03DF001,1,2035/09/15,2440,E
