Beauharnois,La grande-1,Rene-Levesque,Jean-Lesage,Outardes-3,Bersimis-2,Carillon,Outardes-2,Peribonka,Laforge-2,Trenche,La tuque,Beaumont,Romaine-1,McCormick,Rocher-de-Grand-Mere,Paugan,Shawinigan-2,Shawinigan-3,Manic-1,Rapides-des-Iles,Chelsea,Sarcelle,La Gabelle,Premiere-Chute,Les Cedres,Rapides-des-Quinze,Rapides-Farmer,Chute-des-Chats,Rapide-des-Coeurs,Chute-Allard,Bryson,Rapide-2,Riviere-des-Prairies,Chute-Hemmings,Sept-Chutes,Drummondville,Chute-Bell,Mitis-1,Mitis-2,Gull Island,dateTime
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 15:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 16:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 17:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 18:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 19:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 20:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 21:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 22:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 23:00:00+00:00
8640,1930.0,1020,1020,389,229.0,473.0,389,9.795,97.0,239.0,239.0,239.0,88.5,1020,239.0,378.2,239.0,239.0,1020,473.0,378.2,857.0,239.0,473.0,8640,473.0,378.2,473.0,239.0,239.0,473.0,473.0,1365,78.4,32.46,78.4,27.24,33.8,33.8,1290,2025-12-18 00:00:00+00:00
